day,date,portfolio_value,daily_return_pct,cumulative_return_pct
357,2026-01-13,947210.13,-0.106,-5.279
358,2026-01-14,954540.15,0.7739,-4.546
359,2026-01-15,952886.78,-0.1732,-4.7113
360,2026-01-16,960887.1,0.8396,-3.9113
361,2026-01-19,967444.04,0.6824,-3.2556
362,2026-01-20,966412.65,-0.1066,-3.3587
363,2026-01-21,958200.3,-0.8498,-4.18
364,2026-01-22,949287.88,-0.9301,-5.0712
365,2026-01-23,942351.09,-0.7307,-5.7649
366,2026-01-26,933167.99,-0.9745,-6.6832
367,2026-01-27,941340.64,0.8758,-5.8659
368,2026-01-28,940996.09,-0.0366,-5.9004
369,2026-01-29,955864.78,1.5801,-4.4135
370,2026-01-30,977747.68,2.2893,-2.2252
371,2026-02-02,978082.29,0.0342,-2.1918
372,2026-02-03,963039.21,-1.538,-3.6961
373,2026-02-04,959461.97,-0.3715,-4.0538
374,2026-02-05,958834.98,-0.0653,-4.1165
375,2026-02-06,944659.16,-1.4784,-5.5341
376,2026-02-09,942387.31,-0.2405,-5.7613
377,2026-02-10,945185.7,0.2969,-5.4814
378,2026-02-11,940937.77,-0.4494,-5.9062
